Age,Gender,Marriage Status,No of People Living in Family,State,Employment Status,No_Employees,Cluster_KModes
66,Male,Single,3,Gujarat,Employed(Private),10-50,1
51,Female,Single,5,Tripura,Employed(Government),500-1000,2
35,Male,Married,6,Chandigarh,Unemployed,500-1000,0
55,Female,Other,10,Mizoram,Employed(Private),10-50,2
20,Female,Single,9,Rajasthan,Student,50-100,1
62,Male,Other,1,Tamil Nadu,Retired,0-10,1
39,Male,Married,10,Goa,Retired,500-1000,2
75,Female,Other,9,Himachal Pradesh,Unemployed,500-1000,1
22,Female,Other,2,Himachal Pradesh,Employed(Government),1000+,3
73,Male,Single,5,Chandigarh,Employed(Government),50-100,3
40,Male,Married,6,Assam,Employed(Government),500-1000,0
53,Female,Other,10,Puducherry,Employed(Government),100-500,1
48,Female,Single,1,Lakshadweep,Employed(Private),10-50,3
80,Male,Other,7,Dadra and Nagar Haveli and Daman and Diu,Retired,100-500,2
49,Female,Married,7,Gujarat,Unemployed,1000+,2
33,Female,Single,7,Bihar,Employed(Private),0-10,0
36,Female,Married,4,Odisha,Employed(Government),100-500,0
41,Male,Other,8,Karnataka,Retired,10-50,1
19,Male,Single,7,Rajasthan,Employed(Private),0-10,2
26,Male,Other,2,Odisha,Unemployed,0-10,3
75,Female,Other,9,Assam,Student,10-50,1
64,Male,Other,4,Maharashtra,Retired,50-100,1
80,Male,Married,6,Jharkhand,Employed(Government),100-500,0
67,Female,Other,7,Punjab,Student,50-100,1
51,Male,Other,5,Uttarakhand,Student,100-500,0
43,Female,Other,9,Tamil Nadu,Unemployed,1000+,1
35,Male,Single,6,Haryana,Student,1000+,2
18,Female,Married,5,Goa,Employed(Government),10-50,2
64,Male,Other,8,Karnataka,Employed(Private),100-500,0
53,Female,Single,8,Andhra Pradesh,Employed(Government),1000+,0
76,Female,Single,2,Uttarakhand,Employed(Private),100-500,2
18,Female,Married,9,Meghalaya,Retired,50-100,0
24,Male,Other,8,Maharashtra,Employed(Government),10-50,2
19,Male,Other,3,Assam,Employed(Government),1000+,1
21,Female,Other,4,Mizoram,Retired,50-100,1
28,Male,Single,6,Uttarakhand,Retired,50-100,0
47,Male,Married,6,Sikkim,Student,10-50,3
75,Male,Single,8,Karnataka,Employed(Private),10-50,3
26,Male,Married,8,Nagaland,Employed(Private),50-100,1
65,Male,Other,1,Chandigarh,Employed(Private),1000+,2
54,Female,Other,4,Delhi,Employed(Government),50-100,3
41,Female,Single,5,Gujarat,Student,50-100,1
55,Female,Married,9,Lakshadweep,Unemployed,100-500,0
64,Female,Single,2,Odisha,Employed(Private),500-1000,3
40,Male,Married,2,Jharkhand,Unemployed,10-50,2
71,Female,Married,1,Arunachal Pradesh,Employed(Private),0-10,0
79,Female,Married,4,Andaman and Nicobar Islands,Student,500-1000,2
27,Female,Single,1,Chhattisgarh,Employed(Private),10-50,3
44,Female,Married,4,Gujarat,Retired,100-500,0
27,Male,Single,6,Andaman and Nicobar Islands,Unemployed,500-1000,1
79,Female,Married,1,Jammu and Kashmir,Retired,50-100,1
45,Female,Married,2,Uttar Pradesh,Employed(Private),50-100,3
40,Male,Married,7,Kerala,Unemployed,0-10,2
54,Male,Other,8,Manipur,Employed(Private),100-500,3
21,Male,Married,1,Rajasthan,Employed(Government),1000+,0
65,Female,Other,8,Puducherry,Unemployed,50-100,0
20,Female,Married,4,Manipur,Unemployed,1000+,0
46,Female,Single,1,Jammu and Kashmir,Retired,10-50,1
51,Female,Other,3,Tamil Nadu,Employed(Government),10-50,1
73,Male,Married,4,Punjab,Unemployed,10-50,2
69,Female,Other,4,Maharashtra,Employed(Private),100-500,3
29,Female,Single,1,Jharkhand,Retired,10-50,0
37,Male,Married,7,Sikkim,Student,0-10,0
50,Male,Single,2,Odisha,Student,0-10,2
54,Female,Other,7,Ladakh,Employed(Private),0-10,1
26,Female,Married,2,Bihar,Student,1000+,1
37,Female,Married,8,Chhattisgarh,Student,100-500,0
56,Male,Single,5,Tamil Nadu,Employed(Government),500-1000,3
40,Male,Married,4,Chhattisgarh,Employed(Government),500-1000,0
22,Male,Married,8,Rajasthan,Employed(Government),50-100,0
38,Male,Married,7,West Bengal,Retired,10-50,0
25,Male,Single,4,Chhattisgarh,Employed(Government),0-10,1
63,Female,Other,6,Tripura,Employed(Government),1000+,3
63,Female,Other,1,Delhi,Unemployed,100-500,1
55,Male,Single,5,Meghalaya,Retired,50-100,1
67,Male,Single,7,Meghalaya,Employed(Private),1000+,0
51,Male,Other,10,Bihar,Employed(Government),500-1000,3
75,Female,Single,6,Assam,Retired,100-500,0
62,Male,Single,2,Chandigarh,Employed(Government),50-100,3
47,Male,Married,7,Meghalaya,Unemployed,500-1000,0
43,Female,Other,3,Karnataka,Employed(Government),50-100,1
67,Female,Other,2,Goa,Employed(Private),50-100,0
40,Female,Single,7,Bihar,Retired,500-1000,3
40,Male,Married,3,Tripura,Employed(Private),500-1000,1
24,Female,Married,4,Nagaland,Employed(Government),10-50,0
59,Male,Single,3,Odisha,Employed(Private),500-1000,0
55,Female,Married,7,Kerala,Employed(Private),0-10,2
79,Male,Other,3,Uttar Pradesh,Student,0-10,3
29,Male,Other,6,Punjab,Employed(Government),0-10,0
25,Female,Other,2,Delhi,Retired,0-10,2
32,Female,Single,5,Rajasthan,Employed(Private),10-50,0
57,Female,Single,6,Himachal Pradesh,Student,500-1000,1
26,Female,Single,2,Jharkhand,Employed(Private),100-500,1
71,Male,Married,2,Arunachal Pradesh,Employed(Private),50-100,3
38,Male,Single,4,Maharashtra,Employed(Government),1000+,0
64,Male,Other,1,Lakshadweep,Student,50-100,0
26,Male,Single,2,Tripura,Retired,0-10,0
36,Female,Single,10,Telangana,Unemployed,100-500,1
41,Female,Single,10,Ladakh,Student,50-100,1
24,Male,Married,6,Manipur,Student,50-100,3
42,Female,Other,9,Ladakh,Unemployed,50-100,0
38,Female,Married,4,Telangana,Unemployed,50-100,0
39,Female,Other,6,Arunachal Pradesh,Student,10-50,1
59,Female,Other,4,Meghalaya,Retired,500-1000,0
23,Male,Married,9,Telangana,Retired,0-10,1
46,Male,Married,9,Kerala,Unemployed,10-50,2
48,Female,Single,7,Chhattisgarh,Student,0-10,3
78,Male,Other,2,Dadra and Nagar Haveli and Daman and Diu,Unemployed,500-1000,1
52,Male,Single,3,Chhattisgarh,Employed(Private),100-500,0
76,Female,Single,3,Bihar,Retired,0-10,0
48,Male,Married,4,Madhya Pradesh,Employed(Private),100-500,2
47,Female,Single,6,Arunachal Pradesh,Employed(Government),10-50,0
59,Female,Single,7,Sikkim,Employed(Private),500-1000,0
64,Female,Married,10,West Bengal,Unemployed,100-500,2
39,Male,Single,2,Ladakh,Retired,500-1000,1
30,Female,Married,1,Assam,Employed(Government),10-50,0
18,Female,Married,4,Mizoram,Employed(Private),0-10,3
59,Female,Married,5,Mizoram,Student,0-10,0
31,Male,Married,2,Uttar Pradesh,Employed(Government),50-100,1
36,Male,Other,5,Meghalaya,Employed(Government),500-1000,1
78,Male,Other,5,Tamil Nadu,Student,1000+,0
64,Male,Married,2,Mizoram,Unemployed,500-1000,2
45,Female,Other,5,Tamil Nadu,Employed(Private),1000+,0
50,Female,Other,6,Chhattisgarh,Unemployed,0-10,3
36,Female,Married,2,Dadra and Nagar Haveli and Daman and Diu,Retired,100-500,1
61,Female,Other,5,Bihar,Employed(Private),0-10,0
58,Female,Single,3,Bihar,Unemployed,10-50,0
39,Female,Other,5,Uttar Pradesh,Employed(Private),100-500,3
50,Female,Married,2,Nagaland,Retired,50-100,2
34,Female,Married,4,Odisha,Unemployed,100-500,3
62,Female,Married,1,Dadra and Nagar Haveli and Daman and Diu,Employed(Private),10-50,3
60,Male,Single,6,Ladakh,Employed(Government),1000+,0
40,Female,Other,7,Goa,Employed(Government),0-10,1
33,Male,Single,3,Bihar,Student,1000+,0
25,Female,Single,9,Rajasthan,Retired,0-10,3
41,Female,Single,5,Jammu and Kashmir,Employed(Government),1000+,1
21,Male,Married,6,Dadra and Nagar Haveli and Daman and Diu,Retired,1000+,0
42,Female,Single,3,Andhra Pradesh,Retired,50-100,2
63,Male,Single,2,Karnataka,Unemployed,500-1000,0
63,Female,Married,8,Delhi,Employed(Private),50-100,0
25,Female,Single,10,Andhra Pradesh,Student,500-1000,3
39,Female,Single,2,Madhya Pradesh,Retired,0-10,0
58,Male,Other,2,Goa,Unemployed,1000+,2
72,Male,Married,8,Sikkim,Employed(Government),10-50,1
29,Male,Other,6,Telangana,Employed(Private),0-10,0
31,Female,Married,7,Mizoram,Employed(Private),50-100,2
20,Female,Single,7,Odisha,Student,1000+,0
24,Female,Single,1,Uttar Pradesh,Employed(Government),0-10,1
44,Female,Other,1,Uttar Pradesh,Employed(Private),100-500,3
80,Female,Other,10,Goa,Retired,0-10,0
34,Female,Single,10,Arunachal Pradesh,Student,1000+,0
37,Male,Other,5,West Bengal,Unemployed,100-500,1
59,Male,Single,3,Ladakh,Retired,500-1000,0
37,Female,Other,8,Lakshadweep,Employed(Government),10-50,0
78,Female,Single,8,Rajasthan,Retired,100-500,1
78,Male,Married,4,Mizoram,Student,10-50,0
28,Male,Single,6,Tamil Nadu,Student,500-1000,1
47,Female,Other,6,Meghalaya,Student,0-10,0
41,Female,Married,3,Goa,Employed(Government),100-500,2
19,Male,Other,9,Delhi,Employed(Private),10-50,1
32,Female,Other,10,Manipur,Employed(Private),10-50,2
34,Female,Other,9,Tamil Nadu,Employed(Government),10-50,2
22,Female,Single,10,Arunachal Pradesh,Unemployed,500-1000,0
30,Female,Single,5,Arunachal Pradesh,Employed(Private),0-10,0
73,Female,Single,9,Uttar Pradesh,Student,0-10,2
40,Female,Other,1,Uttar Pradesh,Unemployed,0-10,0
18,Female,Single,5,Kerala,Retired,100-500,0
24,Female,Other,4,Jammu and Kashmir,Unemployed,500-1000,2
51,Male,Married,4,Jammu and Kashmir,Employed(Government),500-1000,1
40,Male,Other,10,Nagaland,Retired,1000+,0
80,Male,Married,9,Tamil Nadu,Retired,1000+,1
75,Female,Other,3,Andhra Pradesh,Unemployed,10-50,3
32,Female,Married,4,Karnataka,Unemployed,10-50,1
63,Male,Single,6,Haryana,Employed(Private),100-500,2
41,Male,Married,7,Uttar Pradesh,Student,100-500,2
72,Male,Other,10,Uttar Pradesh,Employed(Private),500-1000,2
36,Male,Married,8,Mizoram,Employed(Government),500-1000,1
18,Male,Single,2,Rajasthan,Unemployed,500-1000,1
24,Male,Other,5,Goa,Retired,100-500,0
32,Female,Other,3,Karnataka,Retired,50-100,0
70,Female,Other,1,Dadra and Nagar Haveli and Daman and Diu,Retired,500-1000,2
62,Female,Married,5,Tamil Nadu,Student,100-500,1
43,Male,Single,4,West Bengal,Employed(Private),50-100,2
74,Male,Married,8,Telangana,Employed(Government),100-500,3
66,Female,Other,2,Chandigarh,Student,500-1000,2
77,Female,Other,3,Chhattisgarh,Retired,0-10,1
51,Female,Other,4,Gujarat,Student,0-10,0
71,Male,Other,7,Uttar Pradesh,Employed(Private),0-10,1
70,Female,Married,2,Uttar Pradesh,Employed(Government),0-10,0
63,Female,Single,6,Maharashtra,Employed(Government),1000+,3
54,Female,Single,9,Gujarat,Retired,1000+,3
67,Female,Married,1,Jammu and Kashmir,Employed(Government),500-1000,1
54,Male,Other,6,Madhya Pradesh,Employed(Government),10-50,3
67,Male,Single,3,Madhya Pradesh,Unemployed,0-10,1
80,Male,Single,4,Karnataka,Student,100-500,0
78,Male,Married,3,Haryana,Retired,1000+,2
32,Male,Single,3,Madhya Pradesh,Employed(Private),0-10,1
30,Male,Other,9,West Bengal,Retired,1000+,3
66,Female,Single,5,West Bengal,Retired,1000+,0
41,Male,Married,2,Kerala,Unemployed,100-500,1
34,Female,Other,5,Dadra and Nagar Haveli and Daman and Diu,Retired,0-10,2
23,Male,Other,8,Jammu and Kashmir,Student,100-500,0
48,Male,Other,7,Sikkim,Employed(Private),100-500,0
59,Female,Single,6,Delhi,Retired,50-100,3
64,Female,Other,3,Assam,Employed(Government),500-1000,0
26,Female,Other,5,Kerala,Retired,10-50,2
53,Female,Married,10,Gujarat,Employed(Private),100-500,1
48,Female,Other,2,West Bengal,Employed(Private),50-100,1
74,Male,Married,8,Arunachal Pradesh,Student,1000+,2
21,Male,Married,9,Chhattisgarh,Employed(Private),1000+,2
71,Male,Married,8,Dadra and Nagar Haveli and Daman and Diu,Retired,100-500,3
30,Male,Married,3,Haryana,Employed(Government),100-500,0
65,Male,Single,1,Kerala,Employed(Private),500-1000,0
23,Male,Other,1,Arunachal Pradesh,Employed(Government),0-10,0
66,Male,Other,8,Bihar,Unemployed,500-1000,1
43,Male,Other,6,Tripura,Employed(Government),0-10,0
63,Male,Other,1,Maharashtra,Unemployed,10-50,1
30,Female,Other,10,Haryana,Employed(Government),100-500,1
78,Male,Other,3,Puducherry,Employed(Private),100-500,3
39,Female,Married,7,Tripura,Unemployed,1000+,0
52,Female,Single,1,Karnataka,Unemployed,1000+,2
22,Female,Married,3,Manipur,Unemployed,10-50,3
77,Male,Single,7,Kerala,Unemployed,0-10,1
75,Male,Single,1,Lakshadweep,Employed(Private),10-50,1
18,Female,Married,8,Haryana,Unemployed,500-1000,3
19,Female,Married,5,Maharashtra,Retired,500-1000,2
23,Male,Single,6,Himachal Pradesh,Employed(Private),1000+,1
19,Female,Other,1,Andaman and Nicobar Islands,Employed(Government),100-500,0
24,Female,Other,1,Manipur,Employed(Private),500-1000,3
50,Female,Married,9,Ladakh,Student,50-100,1
78,Female,Other,9,Assam,Employed(Private),0-10,0
41,Male,Married,9,West Bengal,Retired,10-50,1
59,Male,Single,9,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),500-1000,3
55,Male,Other,8,Tamil Nadu,Unemployed,500-1000,2
44,Female,Other,2,Punjab,Unemployed,0-10,2
59,Male,Married,9,Chandigarh,Student,50-100,2
61,Male,Single,3,Telangana,Unemployed,1000+,1
73,Female,Single,8,Meghalaya,Unemployed,100-500,3
78,Male,Single,5,Ladakh,Unemployed,1000+,1
80,Female,Other,2,Chhattisgarh,Unemployed,0-10,0
63,Male,Other,3,Puducherry,Student,10-50,2
20,Male,Other,5,Kerala,Student,0-10,3
32,Female,Single,8,Dadra and Nagar Haveli and Daman and Diu,Student,10-50,2
25,Female,Other,4,Nagaland,Employed(Government),50-100,3
69,Female,Other,9,Meghalaya,Retired,1000+,1
25,Female,Other,7,Manipur,Retired,1000+,1
72,Female,Married,8,Tripura,Retired,0-10,3
57,Male,Other,10,Himachal Pradesh,Retired,100-500,1
29,Male,Other,7,West Bengal,Student,10-50,0
65,Male,Married,10,Rajasthan,Employed(Private),0-10,0
45,Female,Married,1,Telangana,Unemployed,100-500,3
61,Male,Other,3,Maharashtra,Employed(Government),10-50,0
65,Male,Married,6,Maharashtra,Employed(Private),100-500,0
22,Female,Other,4,Andaman and Nicobar Islands,Unemployed,10-50,2
76,Female,Other,5,Puducherry,Employed(Private),10-50,0
45,Male,Other,2,Tamil Nadu,Student,1000+,3
32,Female,Single,5,Nagaland,Unemployed,0-10,0
37,Female,Married,3,Telangana,Employed(Private),500-1000,2
69,Female,Married,10,Odisha,Retired,100-500,2
49,Male,Married,2,Assam,Employed(Private),1000+,1
18,Female,Single,3,Goa,Employed(Government),0-10,1
35,Female,Other,10,Tripura,Retired,1000+,2
39,Male,Single,5,Jharkhand,Retired,500-1000,0
75,Female,Single,4,Kerala,Employed(Government),50-100,1
21,Female,Other,9,Himachal Pradesh,Employed(Private),1000+,3
60,Female,Single,2,Meghalaya,Unemployed,100-500,0
32,Male,Single,4,Punjab,Student,1000+,0
74,Female,Married,6,Manipur,Employed(Private),50-100,0
62,Male,Married,6,Manipur,Student,1000+,2
61,Female,Other,5,Karnataka,Student,0-10,2
29,Female,Married,5,Lakshadweep,Retired,50-100,2
79,Male,Married,8,Lakshadweep,Employed(Government),10-50,0
72,Male,Married,3,Gujarat,Retired,100-500,1
54,Female,Married,6,Rajasthan,Unemployed,500-1000,1
56,Male,Married,6,Ladakh,Employed(Government),1000+,1
59,Male,Other,10,Tamil Nadu,Student,1000+,2
63,Female,Married,7,Himachal Pradesh,Student,10-50,2
55,Female,Married,8,Tamil Nadu,Employed(Government),500-1000,0
27,Male,Married,1,Tamil Nadu,Unemployed,0-10,2
76,Female,Other,3,Meghalaya,Retired,1000+,0
33,Male,Other,2,Himachal Pradesh,Employed(Private),500-1000,0
63,Female,Other,2,Maharashtra,Employed(Private),100-500,1
76,Female,Other,6,Arunachal Pradesh,Unemployed,50-100,0
60,Male,Married,8,Andaman and Nicobar Islands,Employed(Private),1000+,0
54,Male,Single,6,Punjab,Employed(Private),500-1000,3
50,Female,Married,8,Meghalaya,Employed(Government),10-50,1
44,Female,Married,5,Mizoram,Employed(Government),0-10,3
27,Female,Married,8,Lakshadweep,Retired,50-100,0
37,Male,Other,3,West Bengal,Student,0-10,0
43,Male,Single,5,Assam,Student,10-50,0
46,Female,Single,8,Assam,Employed(Private),50-100,1
67,Female,Single,10,Rajasthan,Employed(Private),1000+,0
53,Male,Single,5,Andhra Pradesh,Unemployed,50-100,2
42,Female,Single,3,Dadra and Nagar Haveli and Daman and Diu,Retired,50-100,1
74,Male,Single,9,Chandigarh,Unemployed,100-500,2
79,Female,Single,6,Andhra Pradesh,Employed(Government),500-1000,0
79,Female,Married,2,Madhya Pradesh,Employed(Private),1000+,3
78,Female,Other,9,Chhattisgarh,Retired,50-100,0
73,Female,Single,7,Delhi,Retired,0-10,0
39,Female,Single,8,Andaman and Nicobar Islands,Student,50-100,0
22,Male,Single,9,Jharkhand,Employed(Government),500-1000,2
77,Male,Single,3,Himachal Pradesh,Student,10-50,1
61,Male,Single,8,Meghalaya,Retired,10-50,0
68,Male,Married,8,Chhattisgarh,Employed(Private),100-500,3
51,Male,Married,1,Maharashtra,Student,1000+,1
28,Male,Other,5,Ladakh,Unemployed,10-50,0
56,Male,Single,1,Andaman and Nicobar Islands,Employed(Government),500-1000,3
34,Female,Other,10,Uttarakhand,Retired,500-1000,2
75,Male,Married,3,Lakshadweep,Unemployed,100-500,0
42,Male,Single,10,Andaman and Nicobar Islands,Student,10-50,1
57,Male,Married,1,Madhya Pradesh,Unemployed,100-500,0
64,Male,Married,4,Himachal Pradesh,Retired,0-10,2
19,Male,Other,6,Chandigarh,Employed(Private),10-50,1
30,Female,Single,8,Andaman and Nicobar Islands,Employed(Government),100-500,2
43,Female,Married,6,Himachal Pradesh,Employed(Private),500-1000,2
75,Female,Married,10,Jammu and Kashmir,Unemployed,1000+,1
61,Female,Other,3,Andaman and Nicobar Islands,Employed(Government),50-100,2
76,Female,Single,4,Haryana,Employed(Government),500-1000,0
22,Female,Married,8,Karnataka,Student,50-100,2
57,Female,Other,5,Jammu and Kashmir,Employed(Private),50-100,2
47,Male,Single,6,Goa,Retired,100-500,0
47,Male,Single,9,West Bengal,Student,0-10,2
42,Male,Other,5,Assam,Retired,1000+,0
21,Male,Single,4,Puducherry,Retired,500-1000,2
38,Female,Married,8,Delhi,Unemployed,0-10,1
66,Male,Single,2,Nagaland,Retired,0-10,1
36,Male,Married,8,Bihar,Employed(Private),10-50,1
54,Female,Single,3,Andhra Pradesh,Retired,1000+,2
31,Male,Married,6,Rajasthan,Student,100-500,0
62,Male,Married,1,Haryana,Unemployed,500-1000,0
56,Male,Other,10,Haryana,Retired,1000+,3
70,Male,Married,1,Uttar Pradesh,Employed(Private),500-1000,2
52,Male,Married,9,Nagaland,Employed(Government),0-10,1
24,Male,Married,5,Manipur,Employed(Government),0-10,3
37,Female,Single,10,Haryana,Student,100-500,0
18,Female,Other,5,Sikkim,Student,100-500,1
36,Male,Single,7,Gujarat,Employed(Private),50-100,1
67,Female,Married,3,Kerala,Unemployed,1000+,0
62,Female,Single,8,Meghalaya,Employed(Government),10-50,3
38,Male,Married,2,Gujarat,Retired,10-50,2
22,Female,Married,9,West Bengal,Employed(Government),10-50,0
29,Female,Married,2,West Bengal,Student,100-500,0
37,Male,Other,9,Karnataka,Employed(Private),1000+,2
59,Female,Other,7,Sikkim,Employed(Government),10-50,2
75,Female,Married,8,Assam,Retired,10-50,3
67,Male,Married,5,Tripura,Student,1000+,0
47,Male,Other,4,Goa,Unemployed,50-100,1
63,Male,Single,5,Arunachal Pradesh,Unemployed,0-10,3
59,Female,Single,5,Assam,Employed(Private),50-100,1
30,Male,Single,10,Sikkim,Employed(Private),50-100,2
67,Female,Married,1,Andaman and Nicobar Islands,Unemployed,10-50,0
20,Female,Single,7,Goa,Employed(Private),0-10,2
43,Female,Other,8,Delhi,Employed(Government),1000+,3
50,Male,Married,10,Meghalaya,Student,0-10,1
59,Male,Married,7,Chandigarh,Employed(Government),0-10,2
28,Female,Other,9,Madhya Pradesh,Employed(Government),1000+,0
40,Male,Married,10,Karnataka,Unemployed,0-10,2
53,Female,Other,9,Madhya Pradesh,Student,0-10,3
38,Female,Single,9,Puducherry,Retired,50-100,0
46,Male,Other,3,Meghalaya,Employed(Private),500-1000,3
26,Male,Other,7,Andhra Pradesh,Employed(Government),10-50,2
55,Male,Other,2,Delhi,Unemployed,1000+,3
43,Male,Other,3,Nagaland,Employed(Government),50-100,2
71,Female,Other,4,Uttar Pradesh,Employed(Private),10-50,2
71,Female,Married,10,Haryana,Employed(Government),50-100,1
47,Female,Married,7,Arunachal Pradesh,Retired,500-1000,0
30,Male,Married,5,Delhi,Student,50-100,2
47,Female,Other,4,Kerala,Employed(Government),10-50,0
29,Female,Single,7,Rajasthan,Unemployed,10-50,1
61,Female,Other,3,Assam,Unemployed,100-500,1
56,Male,Other,7,Jharkhand,Unemployed,1000+,1
34,Female,Other,4,Mizoram,Retired,10-50,2
50,Male,Single,6,Himachal Pradesh,Employed(Government),50-100,2
80,Male,Single,9,Chandigarh,Retired,50-100,0
61,Male,Single,8,Uttarakhand,Employed(Private),1000+,3
48,Female,Single,7,Rajasthan,Employed(Government),0-10,1
32,Male,Single,2,Dadra and Nagar Haveli and Daman and Diu,Employed(Private),1000+,0
51,Male,Other,7,Andaman and Nicobar Islands,Employed(Government),0-10,0
26,Male,Single,6,Andaman and Nicobar Islands,Student,1000+,1
74,Male,Married,6,Uttar Pradesh,Employed(Government),0-10,1
43,Female,Single,10,Uttarakhand,Employed(Private),1000+,3
63,Female,Other,2,Uttar Pradesh,Student,0-10,2
50,Male,Other,1,Himachal Pradesh,Retired,100-500,1
65,Male,Married,4,Andhra Pradesh,Unemployed,50-100,0
55,Male,Married,9,Goa,Employed(Private),10-50,0
27,Female,Married,1,Himachal Pradesh,Employed(Private),500-1000,3
52,Female,Single,8,Puducherry,Employed(Government),10-50,1
37,Male,Single,4,Assam,Unemployed,100-500,0
67,Female,Married,6,Meghalaya,Employed(Private),500-1000,2
78,Female,Single,5,Punjab,Retired,0-10,0
52,Male,Married,3,Madhya Pradesh,Retired,100-500,3
41,Male,Single,10,Jharkhand,Employed(Private),10-50,3
44,Female,Other,4,Puducherry,Employed(Private),100-500,1
80,Male,Married,7,Nagaland,Student,100-500,1
68,Female,Other,1,Bihar,Employed(Private),50-100,0
32,Male,Married,7,Haryana,Retired,10-50,0
27,Male,Married,2,Bihar,Employed(Government),10-50,2
30,Female,Other,6,Rajasthan,Retired,50-100,2
23,Female,Single,5,Dadra and Nagar Haveli and Daman and Diu,Unemployed,100-500,2
52,Female,Other,3,Maharashtra,Unemployed,1000+,2
53,Male,Other,6,Tripura,Employed(Private),50-100,1
32,Female,Single,6,Assam,Unemployed,50-100,0
23,Male,Other,10,Telangana,Retired,500-1000,3
37,Female,Single,10,Sikkim,Employed(Private),500-1000,1
67,Female,Married,9,Haryana,Employed(Government),1000+,3
33,Male,Married,10,Bihar,Unemployed,500-1000,3
68,Female,Single,8,Jharkhand,Employed(Government),500-1000,0
36,Female,Married,5,Meghalaya,Employed(Government),1000+,1
47,Male,Single,7,Sikkim,Employed(Private),500-1000,0
35,Female,Single,1,Uttarakhand,Student,1000+,3
78,Male,Married,1,Tripura,Retired,500-1000,3
49,Female,Married,4,Bihar,Student,100-500,0
74,Male,Other,1,Delhi,Retired,10-50,3
66,Male,Married,3,Arunachal Pradesh,Student,100-500,1
36,Female,Other,6,Punjab,Employed(Government),100-500,0
76,Female,Other,2,West Bengal,Student,50-100,3
48,Female,Other,7,Andhra Pradesh,Employed(Government),1000+,1
64,Male,Other,7,Kerala,Unemployed,50-100,0
38,Male,Single,6,Punjab,Retired,1000+,0
24,Female,Other,1,Madhya Pradesh,Employed(Private),50-100,2
62,Female,Other,4,Lakshadweep,Employed(Government),500-1000,1
77,Male,Married,9,Nagaland,Unemployed,10-50,0
68,Female,Single,2,Goa,Retired,0-10,0
30,Male,Married,10,Telangana,Retired,100-500,0
34,Female,Other,9,Andhra Pradesh,Employed(Government),10-50,2
21,Female,Single,2,Arunachal Pradesh,Employed(Government),1000+,0
20,Female,Single,7,Meghalaya,Unemployed,1000+,0
48,Female,Other,8,Chhattisgarh,Employed(Private),1000+,1
24,Male,Single,5,Andaman and Nicobar Islands,Student,1000+,1
58,Male,Married,4,Lakshadweep,Retired,50-100,2
39,Male,Married,8,Rajasthan,Employed(Government),500-1000,0
51,Female,Married,3,Jammu and Kashmir,Employed(Government),500-1000,2
44,Male,Married,2,Kerala,Unemployed,50-100,1
55,Male,Other,5,Haryana,Employed(Government),1000+,1
24,Male,Married,10,Bihar,Retired,1000+,0
65,Male,Single,3,Ladakh,Employed(Government),100-500,1
29,Female,Single,10,Haryana,Student,500-1000,1
75,Female,Married,8,Chandigarh,Retired,100-500,2
76,Male,Single,1,Tripura,Employed(Private),500-1000,1
38,Female,Single,8,West Bengal,Employed(Government),0-10,2
78,Female,Single,10,Andhra Pradesh,Employed(Private),0-10,0
35,Female,Other,4,Bihar,Student,10-50,0
43,Male,Other,2,Manipur,Retired,0-10,1
70,Female,Single,6,Chhattisgarh,Retired,10-50,2
68,Female,Single,3,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),500-1000,1
24,Male,Other,8,Puducherry,Unemployed,0-10,0
66,Male,Single,5,Andaman and Nicobar Islands,Employed(Private),100-500,0
30,Male,Single,2,Dadra and Nagar Haveli and Daman and Diu,Employed(Government),100-500,2
56,Female,Single,8,Maharashtra,Retired,1000+,2
29,Female,Other,10,Delhi,Unemployed,100-500,3
69,Male,Single,8,Madhya Pradesh,Employed(Private),500-1000,3
78,Female,Other,5,Goa,Employed(Government),100-500,0
76,Male,Other,9,Ladakh,Employed(Private),10-50,3
67,Female,Married,8,Tripura,Employed(Private),1000+,1
35,Male,Other,4,Chhattisgarh,Student,0-10,1
36,Female,Other,3,Punjab,Employed(Government),500-1000,0
33,Female,Other,10,Assam,Employed(Private),500-1000,1
72,Male,Married,5,Dadra and Nagar Haveli and Daman and Diu,Student,50-100,3
18,Female,Married,4,Arunachal Pradesh,Employed(Government),100-500,2
59,Female,Other,1,Dadra and Nagar Haveli and Daman and Diu,Student,10-50,0
48,Female,Married,9,Andaman and Nicobar Islands,Employed(Government),10-50,0
56,Female,Single,10,Chhattisgarh,Employed(Government),100-500,0
24,Male,Married,4,Arunachal Pradesh,Unemployed,100-500,1
49,Female,Married,1,Assam,Unemployed,10-50,1
69,Female,Other,4,Telangana,Student,1000+,2
65,Female,Other,8,Odisha,Employed(Private),100-500,3
20,Male,Single,6,Lakshadweep,Employed(Private),50-100,0
59,Male,Married,1,Punjab,Student,100-500,0
21,Female,Single,7,Arunachal Pradesh,Retired,0-10,1
22,Female,Single,10,Rajasthan,Employed(Private),100-500,0
28,Female,Married,7,Uttar Pradesh,Unemployed,50-100,3
38,Female,Other,10,Nagaland,Unemployed,100-500,0
60,Male,Other,9,Maharashtra,Student,10-50,0
23,Female,Other,9,Nagaland,Retired,0-10,0
69,Female,Other,10,Himachal Pradesh,Employed(Government),0-10,0
