Physical Activity Level,Dietary Habits,Sleep Duration (hours),Stress Level,Smoking Status,Alcohol Consumption,Caffeine Intake,Hydration Level,Work-Life Balance,Hobbies and Interests,Social Support,Mindfulness and Meditation Practice,Exposure to Natural Light,Technology Usage,Air Quality Exposure,Cluster_KModes
Sedentary,Vegan,4,High,Smoker,None,Low,Adequate,Poor,Sports,Moderate,Occasional,Moderate,Moderate,Average,1
Moderate,Vegan,7,High,Non-smoker,None,Low,Insufficient,Good,Reading,Moderate,Regular,High,Excessive,Poor,2
Sedentary,Vegetarian,5,Low,Non-smoker,None,High,Insufficient,Excellent,Sports,Moderate,None,Low,Excessive,Poor,0
Moderate,Omnivore,12,High,Non-smoker,None,High,Adequate,Fair,Music,Strong,Regular,Moderate,Moderate,Good,3
Moderate,Mediterranean,8,Moderate,Former Smoker,None,None,Adequate,Fair,Reading,Moderate,None,High,Minimal,Average,0
Moderate,Mediterranean,5,Moderate,Smoker,Occasional,Low,Adequate,Fair,Music,Strong,None,Low,Excessive,Poor,0
Sedentary,Vegan,6,Moderate,Non-smoker,None,None,Insufficient,Excellent,Sports,Moderate,None,Moderate,Minimal,Poor,0
Sedentary,Vegan,6,High,Smoker,None,Low,Insufficient,Fair,Music,Moderate,None,High,Excessive,Average,2
Active,Omnivore,9,Low,Former Smoker,Regular,None,Insufficient,Good,Reading,Moderate,None,Low,Moderate,Average,1
Sedentary,Keto,11,Moderate,Smoker,Occasional,None,Adequate,Excellent,Reading,Moderate,None,High,Moderate,Good,0
Active,Mediterranean,10,High,Former Smoker,Regular,High,Adequate,Fair,Music,Strong,None,Moderate,Moderate,Good,3
Moderate,Vegan,8,Low,Former Smoker,Regular,High,Adequate,Poor,Reading,Moderate,Regular,High,Minimal,Average,1
Sedentary,Mediterranean,8,Low,Former Smoker,Occasional,Low,Insufficient,Good,Sports,Strong,Regular,High,Minimal,Poor,0
Moderate,Omnivore,7,Moderate,Smoker,None,High,Insufficient,Fair,Traveling,Strong,None,High,Moderate,Good,3
Moderate,Mediterranean,9,High,Non-smoker,Regular,None,Insufficient,Poor,Reading,Moderate,Occasional,Low,Moderate,Poor,2
Active,Keto,8,Low,Smoker,Occasional,None,Insufficient,Excellent,Traveling,Moderate,Occasional,Low,Minimal,Average,0
Active,Vegan,6,Low,Non-smoker,None,Low,Insufficient,Poor,Reading,Moderate,Occasional,High,Minimal,Average,1
Moderate,Mediterranean,4,High,Smoker,None,Low,Adequate,Excellent,Music,Weak,Regular,High,Minimal,Poor,0
Moderate,Mediterranean,5,High,Non-smoker,Occasional,High,Insufficient,Good,Traveling,Strong,Occasional,High,Excessive,Poor,2
Active,Vegetarian,7,High,Smoker,Regular,Low,Adequate,Good,Sports,Weak,Regular,High,Excessive,Good,1
Active,Omnivore,9,Moderate,Former Smoker,None,Low,Adequate,Good,Traveling,Strong,None,Low,Minimal,Good,2
Moderate,Omnivore,4,High,Non-smoker,Occasional,Low,Insufficient,Excellent,Music,Moderate,None,Low,Moderate,Average,2
Sedentary,Vegetarian,11,High,Former Smoker,Regular,Low,Insufficient,Excellent,Sports,Strong,None,High,Excessive,Average,1
Moderate,Omnivore,12,Moderate,Former Smoker,None,None,Insufficient,Good,Traveling,Strong,Occasional,Low,Excessive,Good,2
Sedentary,Vegan,4,High,Smoker,Occasional,Low,Insufficient,Fair,Reading,Weak,Regular,High,Excessive,Good,0
Active,Mediterranean,6,High,Former Smoker,None,Low,Insufficient,Fair,Reading,Strong,None,Low,Moderate,Poor,2
Moderate,Keto,12,High,Smoker,Regular,None,Insufficient,Poor,Reading,Moderate,Occasional,Moderate,Excessive,Poor,2
Active,Mediterranean,7,Low,Non-smoker,Occasional,High,Adequate,Excellent,Music,Moderate,None,Low,Moderate,Average,0
Sedentary,Vegan,7,High,Smoker,None,Low,Adequate,Poor,Traveling,Weak,Occasional,Moderate,Excessive,Average,2
Sedentary,Omnivore,12,High,Smoker,None,High,Insufficient,Good,Sports,Weak,None,Low,Moderate,Poor,0
Moderate,Vegetarian,12,Moderate,Non-smoker,None,Low,Adequate,Poor,Reading,Strong,Regular,High,Excessive,Good,2
Active,Vegan,7,Moderate,Smoker,Regular,Low,Adequate,Fair,Traveling,Weak,Occasional,Moderate,Moderate,Average,1
Moderate,Vegetarian,10,Moderate,Smoker,Regular,None,Insufficient,Poor,Sports,Strong,Regular,Low,Moderate,Good,1
Active,Omnivore,6,High,Former Smoker,Occasional,High,Insufficient,Excellent,Sports,Moderate,None,High,Minimal,Average,1
Moderate,Keto,6,Moderate,Smoker,None,Low,Insufficient,Poor,Music,Weak,Regular,Low,Excessive,Good,2
Moderate,Omnivore,5,Moderate,Non-smoker,Occasional,None,Adequate,Poor,Sports,Weak,Occasional,Low,Minimal,Poor,0
Sedentary,Vegetarian,9,High,Former Smoker,Occasional,High,Insufficient,Good,Traveling,Weak,None,Low,Minimal,Poor,0
Active,Omnivore,8,Low,Smoker,None,High,Adequate,Fair,Sports,Moderate,Occasional,High,Moderate,Good,3
Moderate,Mediterranean,8,High,Smoker,None,Low,Insufficient,Poor,Traveling,Weak,None,Moderate,Moderate,Poor,2
Sedentary,Vegetarian,8,Low,Former Smoker,None,Low,Adequate,Poor,Reading,Strong,Occasional,High,Excessive,Poor,1
Active,Omnivore,7,High,Smoker,Occasional,Low,Adequate,Poor,Reading,Moderate,None,Low,Moderate,Good,3
Active,Keto,8,Low,Non-smoker,Occasional,High,Adequate,Excellent,Traveling,Weak,Regular,Low,Minimal,Poor,0
Moderate,Vegetarian,8,Low,Non-smoker,Regular,High,Adequate,Excellent,Reading,Strong,Regular,High,Excessive,Good,1
Moderate,Omnivore,8,High,Smoker,None,Low,Adequate,Excellent,Sports,Moderate,Regular,Moderate,Moderate,Poor,1
Sedentary,Mediterranean,8,Moderate,Former Smoker,Occasional,None,Adequate,Good,Sports,Strong,None,Low,Excessive,Average,0
Sedentary,Vegetarian,7,High,Former Smoker,Regular,High,Insufficient,Poor,Music,Weak,Occasional,Moderate,Moderate,Good,3
Moderate,Vegan,7,High,Non-smoker,Regular,Low,Adequate,Excellent,Traveling,Strong,Occasional,High,Excessive,Good,2
Sedentary,Vegetarian,11,Low,Non-smoker,None,High,Insufficient,Fair,Reading,Moderate,None,High,Excessive,Poor,0
Moderate,Vegan,4,Low,Smoker,None,High,Adequate,Fair,Reading,Weak,None,Low,Moderate,Good,0
Active,Omnivore,12,High,Smoker,Regular,None,Insufficient,Poor,Music,Strong,Occasional,Low,Excessive,Average,2
Sedentary,Keto,10,High,Smoker,None,None,Adequate,Fair,Traveling,Weak,Occasional,Low,Excessive,Average,2
Sedentary,Mediterranean,4,High,Former Smoker,Regular,High,Adequate,Fair,Reading,Weak,Regular,Moderate,Moderate,Average,3
Sedentary,Vegetarian,6,Low,Non-smoker,Occasional,None,Insufficient,Good,Reading,Weak,Regular,Moderate,Minimal,Average,0
Active,Mediterranean,11,Moderate,Smoker,Regular,High,Adequate,Poor,Sports,Weak,Regular,Low,Minimal,Average,1
Moderate,Vegetarian,6,Moderate,Non-smoker,Occasional,High,Insufficient,Fair,Sports,Weak,None,Moderate,Moderate,Good,3
Sedentary,Vegetarian,6,Moderate,Non-smoker,None,None,Insufficient,Poor,Traveling,Moderate,None,Moderate,Moderate,Poor,1
Sedentary,Omnivore,4,High,Smoker,Regular,Low,Insufficient,Good,Reading,Strong,Occasional,High,Minimal,Good,2
Active,Omnivore,12,Low,Smoker,Occasional,None,Insufficient,Poor,Traveling,Weak,Occasional,Low,Moderate,Average,0
Active,Keto,9,High,Former Smoker,Regular,Low,Insufficient,Poor,Sports,Strong,Occasional,Low,Excessive,Good,2
Moderate,Keto,9,High,Former Smoker,Occasional,High,Adequate,Fair,Traveling,Moderate,Regular,Low,Moderate,Average,3
Active,Vegan,12,Moderate,Smoker,Regular,None,Insufficient,Fair,Sports,Weak,Occasional,High,Moderate,Average,1
Moderate,Mediterranean,10,Moderate,Smoker,Occasional,Low,Adequate,Poor,Traveling,Strong,Regular,Low,Excessive,Average,2
Sedentary,Vegetarian,5,Moderate,Smoker,Regular,None,Adequate,Good,Music,Strong,None,Low,Moderate,Average,0
Moderate,Keto,11,High,Non-smoker,None,None,Insufficient,Good,Music,Moderate,Regular,Moderate,Moderate,Good,2
Moderate,Omnivore,8,High,Smoker,Regular,High,Adequate,Good,Reading,Strong,Regular,Moderate,Moderate,Poor,3
Active,Mediterranean,7,Moderate,Smoker,Regular,Low,Adequate,Poor,Reading,Moderate,Occasional,Moderate,Minimal,Good,0
Moderate,Omnivore,8,High,Former Smoker,Regular,None,Adequate,Fair,Music,Moderate,Occasional,Low,Moderate,Good,3
Moderate,Mediterranean,11,High,Non-smoker,Occasional,High,Adequate,Poor,Music,Moderate,Regular,Low,Excessive,Good,2
Sedentary,Vegan,7,High,Former Smoker,Occasional,None,Adequate,Fair,Sports,Strong,None,Low,Moderate,Good,3
Moderate,Vegan,11,High,Non-smoker,Occasional,Low,Insufficient,Fair,Traveling,Weak,Occasional,High,Moderate,Poor,2
Sedentary,Vegan,9,High,Non-smoker,None,None,Insufficient,Poor,Traveling,Strong,None,Low,Excessive,Average,2
Active,Vegetarian,10,High,Smoker,Regular,High,Insufficient,Good,Sports,Moderate,Regular,Low,Moderate,Good,1
Active,Mediterranean,10,Low,Non-smoker,None,Low,Adequate,Excellent,Music,Weak,Occasional,Low,Minimal,Average,0
Active,Vegan,4,High,Non-smoker,None,None,Insufficient,Good,Traveling,Weak,Regular,Moderate,Excessive,Average,2
Sedentary,Omnivore,7,High,Non-smoker,Regular,None,Adequate,Excellent,Traveling,Strong,None,Low,Excessive,Poor,0
Active,Keto,5,Low,Smoker,Occasional,Low,Insufficient,Poor,Sports,Strong,Occasional,Moderate,Excessive,Average,1
Active,Vegetarian,8,Low,Smoker,None,Low,Adequate,Good,Reading,Moderate,Regular,Moderate,Minimal,Average,1
Active,Vegetarian,10,Low,Former Smoker,None,Low,Adequate,Good,Reading,Moderate,Regular,High,Moderate,Good,1
Moderate,Omnivore,12,Low,Former Smoker,None,Low,Insufficient,Excellent,Traveling,Moderate,Occasional,Moderate,Minimal,Average,2
Active,Vegan,11,High,Smoker,Occasional,Low,Adequate,Good,Traveling,Moderate,Occasional,High,Moderate,Good,2
Sedentary,Mediterranean,6,Low,Non-smoker,Occasional,Low,Insufficient,Fair,Sports,Moderate,Regular,Moderate,Excessive,Poor,0
Sedentary,Keto,8,Moderate,Former Smoker,None,High,Insufficient,Fair,Music,Weak,None,Moderate,Moderate,Good,3
Active,Vegetarian,5,High,Smoker,Regular,Low,Insufficient,Good,Sports,Weak,Regular,Moderate,Excessive,Poor,1
Active,Vegan,11,High,Smoker,Occasional,Low,Insufficient,Excellent,Music,Strong,None,Low,Minimal,Poor,0
Sedentary,Keto,10,High,Non-smoker,Occasional,None,Adequate,Good,Reading,Strong,Occasional,High,Moderate,Average,0
Active,Vegetarian,8,Moderate,Former Smoker,Regular,Low,Insufficient,Poor,Sports,Moderate,Regular,High,Moderate,Average,1
Active,Mediterranean,11,Moderate,Non-smoker,Regular,High,Insufficient,Poor,Sports,Strong,Occasional,Low,Minimal,Average,1
Moderate,Vegan,10,High,Non-smoker,Occasional,High,Adequate,Poor,Sports,Moderate,None,Moderate,Minimal,Average,3
Moderate,Vegan,10,Low,Former Smoker,Regular,High,Insufficient,Excellent,Reading,Strong,Occasional,Moderate,Excessive,Poor,2
Active,Vegan,4,Low,Former Smoker,Regular,High,Insufficient,Excellent,Music,Weak,Regular,High,Moderate,Poor,1
Sedentary,Vegetarian,5,Low,Non-smoker,Occasional,Low,Adequate,Good,Reading,Strong,None,Low,Moderate,Good,0
Active,Keto,5,Moderate,Smoker,None,None,Adequate,Poor,Reading,Weak,Occasional,Moderate,Excessive,Good,0
Active,Keto,12,High,Non-smoker,Occasional,None,Adequate,Excellent,Reading,Strong,None,Moderate,Excessive,Poor,3
Sedentary,Vegetarian,10,High,Non-smoker,Regular,Low,Insufficient,Fair,Reading,Weak,Occasional,High,Minimal,Average,1
Active,Mediterranean,11,High,Non-smoker,Occasional,Low,Insufficient,Fair,Reading,Weak,Regular,Low,Minimal,Poor,0
Moderate,Keto,5,High,Non-smoker,None,Low,Insufficient,Excellent,Traveling,Moderate,Regular,High,Excessive,Average,2
Active,Vegetarian,7,High,Smoker,Occasional,None,Adequate,Excellent,Sports,Moderate,Regular,High,Excessive,Poor,0
Active,Keto,6,Low,Former Smoker,None,None,Adequate,Fair,Reading,Moderate,None,Moderate,Excessive,Good,3
Active,Omnivore,11,High,Non-smoker,None,High,Insufficient,Poor,Music,Moderate,None,High,Moderate,Poor,3
Active,Vegan,5,Low,Non-smoker,Regular,Low,Adequate,Excellent,Traveling,Moderate,Occasional,Low,Minimal,Average,1
Active,Mediterranean,8,Moderate,Former Smoker,Occasional,Low,Adequate,Fair,Traveling,Moderate,Regular,Moderate,Minimal,Good,1
Active,Mediterranean,5,Moderate,Smoker,Occasional,Low,Adequate,Poor,Sports,Weak,None,Low,Minimal,Average,0
Moderate,Vegan,6,Low,Smoker,Occasional,Low,Adequate,Fair,Music,Weak,Regular,Low,Moderate,Good,0
Active,Keto,4,High,Smoker,Occasional,None,Insufficient,Good,Traveling,Weak,Regular,Moderate,Moderate,Good,2
Moderate,Vegan,9,High,Smoker,None,High,Insufficient,Fair,Sports,Weak,Occasional,High,Excessive,Average,2
Moderate,Omnivore,11,High,Non-smoker,None,None,Adequate,Poor,Traveling,Strong,Regular,Moderate,Excessive,Poor,2
Moderate,Vegetarian,4,Moderate,Smoker,None,High,Adequate,Fair,Music,Strong,Occasional,Low,Excessive,Good,2
Sedentary,Mediterranean,8,Moderate,Smoker,Regular,High,Insufficient,Fair,Reading,Strong,Regular,High,Moderate,Average,1
Sedentary,Mediterranean,4,Low,Smoker,Regular,Low,Adequate,Fair,Traveling,Moderate,Occasional,High,Moderate,Poor,0
Moderate,Vegan,5,High,Former Smoker,Occasional,High,Insufficient,Poor,Music,Moderate,None,Moderate,Minimal,Good,3
Moderate,Vegetarian,12,Low,Former Smoker,Regular,Low,Insufficient,Fair,Traveling,Weak,Regular,High,Moderate,Good,1
Moderate,Vegetarian,5,High,Former Smoker,Occasional,High,Adequate,Good,Sports,Moderate,Occasional,Moderate,Excessive,Good,3
Moderate,Vegetarian,11,Moderate,Former Smoker,Occasional,High,Adequate,Excellent,Traveling,Moderate,Regular,Moderate,Minimal,Good,3
Sedentary,Keto,9,Low,Smoker,Regular,Low,Adequate,Fair,Sports,Strong,Regular,Moderate,Excessive,Poor,0
Sedentary,Mediterranean,9,Moderate,Non-smoker,None,None,Insufficient,Good,Sports,Weak,Regular,High,Excessive,Average,1
Active,Omnivore,7,Low,Former Smoker,Occasional,High,Insufficient,Good,Sports,Weak,Occasional,Low,Excessive,Good,0
Moderate,Omnivore,12,Low,Former Smoker,Occasional,None,Insufficient,Fair,Music,Weak,Regular,High,Minimal,Good,3
Moderate,Mediterranean,10,High,Former Smoker,Occasional,High,Adequate,Excellent,Sports,Weak,None,High,Minimal,Good,3
Sedentary,Omnivore,4,Moderate,Smoker,None,None,Adequate,Excellent,Sports,Moderate,None,Moderate,Minimal,Poor,0
Active,Omnivore,10,High,Former Smoker,Regular,High,Adequate,Excellent,Reading,Weak,None,High,Minimal,Poor,3
Moderate,Vegan,6,Moderate,Smoker,Regular,Low,Adequate,Poor,Music,Moderate,Regular,High,Excessive,Poor,1
Sedentary,Omnivore,7,Moderate,Former Smoker,None,None,Insufficient,Good,Reading,Weak,Regular,Moderate,Minimal,Good,0
Active,Mediterranean,6,Low,Former Smoker,Regular,High,Adequate,Excellent,Traveling,Moderate,Regular,Moderate,Minimal,Good,3
Sedentary,Vegetarian,10,Moderate,Smoker,None,Low,Adequate,Poor,Sports,Moderate,Occasional,Moderate,Moderate,Average,1
Moderate,Keto,7,Low,Former Smoker,Occasional,None,Adequate,Fair,Sports,Strong,Occasional,Moderate,Excessive,Poor,0
Active,Mediterranean,4,Low,Non-smoker,Occasional,Low,Insufficient,Excellent,Traveling,Weak,Regular,Low,Excessive,Poor,0
Active,Vegetarian,6,High,Smoker,Occasional,Low,Insufficient,Poor,Reading,Strong,None,Low,Minimal,Good,2
Active,Vegetarian,10,High,Former Smoker,Regular,Low,Insufficient,Fair,Sports,Weak,Regular,High,Excessive,Poor,1
Sedentary,Keto,9,High,Smoker,None,None,Insufficient,Good,Reading,Weak,None,Moderate,Excessive,Good,0
Active,Vegan,11,High,Former Smoker,Occasional,None,Adequate,Good,Sports,Weak,Regular,High,Minimal,Poor,0
Active,Omnivore,10,Low,Non-smoker,None,High,Adequate,Good,Sports,Weak,Occasional,High,Minimal,Poor,0
Moderate,Vegan,9,High,Smoker,Regular,Low,Adequate,Poor,Reading,Weak,Occasional,Low,Excessive,Good,2
Moderate,Vegetarian,11,Low,Smoker,Occasional,High,Adequate,Good,Sports,Strong,Occasional,High,Minimal,Poor,0
Moderate,Keto,7,Moderate,Non-smoker,Occasional,None,Adequate,Good,Music,Moderate,None,Low,Excessive,Good,0
Active,Vegetarian,10,Moderate,Former Smoker,Occasional,None,Insufficient,Poor,Music,Moderate,Occasional,High,Moderate,Poor,1
Active,Vegetarian,4,Moderate,Former Smoker,Occasional,High,Adequate,Poor,Sports,Weak,Regular,Moderate,Minimal,Poor,1
Active,Vegan,12,Moderate,Non-smoker,None,Low,Adequate,Good,Traveling,Moderate,Occasional,High,Moderate,Good,2
Moderate,Vegetarian,6,Moderate,Smoker,Occasional,None,Adequate,Good,Reading,Strong,Occasional,Low,Moderate,Good,0
Sedentary,Vegan,6,High,Non-smoker,Regular,Low,Insufficient,Excellent,Reading,Strong,Occasional,High,Minimal,Good,2
Active,Keto,12,Low,Former Smoker,None,Low,Insufficient,Fair,Sports,Strong,Occasional,Moderate,Minimal,Average,1
Active,Omnivore,10,Moderate,Smoker,None,None,Adequate,Good,Sports,Moderate,Regular,High,Minimal,Good,1
Sedentary,Omnivore,8,Low,Non-smoker,Regular,None,Adequate,Excellent,Reading,Strong,Occasional,Low,Moderate,Average,0
Moderate,Omnivore,8,Low,Non-smoker,Regular,High,Insufficient,Poor,Sports,Weak,Occasional,High,Moderate,Good,1
Sedentary,Vegan,11,Moderate,Smoker,Regular,Low,Adequate,Poor,Traveling,Moderate,Regular,Moderate,Moderate,Good,1
Moderate,Vegan,12,High,Smoker,None,High,Insufficient,Excellent,Music,Weak,Occasional,High,Excessive,Average,2
Moderate,Mediterranean,10,Low,Former Smoker,Regular,High,Insufficient,Poor,Music,Strong,Regular,Low,Moderate,Good,1
Active,Omnivore,10,Low,Smoker,None,Low,Insufficient,Good,Reading,Strong,Regular,Moderate,Excessive,Good,2
Moderate,Vegetarian,9,Low,Former Smoker,None,High,Adequate,Excellent,Traveling,Weak,None,High,Minimal,Average,0
Active,Vegetarian,7,Low,Smoker,Regular,High,Adequate,Good,Sports,Weak,None,Low,Excessive,Poor,0
Moderate,Mediterranean,8,High,Smoker,Occasional,None,Insufficient,Poor,Sports,Moderate,Occasional,Low,Excessive,Average,1
Moderate,Omnivore,6,High,Non-smoker,None,None,Insufficient,Poor,Traveling,Moderate,Regular,Low,Excessive,Good,2
Active,Omnivore,8,Moderate,Non-smoker,None,High,Adequate,Poor,Reading,Weak,Regular,High,Minimal,Average,1
Sedentary,Mediterranean,12,Moderate,Smoker,Occasional,High,Adequate,Poor,Reading,Strong,None,High,Moderate,Poor,0
Sedentary,Omnivore,7,Moderate,Former Smoker,Regular,None,Insufficient,Good,Reading,Weak,Regular,Moderate,Moderate,Poor,0
Sedentary,Mediterranean,8,Low,Non-smoker,None,Low,Insufficient,Poor,Traveling,Strong,None,Moderate,Minimal,Average,2
Moderate,Vegetarian,6,High,Non-smoker,Occasional,Low,Insufficient,Excellent,Traveling,Weak,None,Moderate,Minimal,Average,2
Active,Vegetarian,5,High,Smoker,Regular,High,Adequate,Good,Traveling,Strong,Regular,Moderate,Excessive,Good,3
Moderate,Omnivore,7,Moderate,Former Smoker,Occasional,Low,Adequate,Good,Reading,Moderate,None,Moderate,Excessive,Good,3
Sedentary,Omnivore,7,Moderate,Non-smoker,Regular,Low,Adequate,Poor,Reading,Strong,None,Low,Minimal,Good,0
Sedentary,Mediterranean,11,High,Former Smoker,Occasional,High,Insufficient,Fair,Sports,Strong,Regular,High,Excessive,Good,3
Active,Omnivore,12,Low,Non-smoker,Occasional,Low,Adequate,Poor,Traveling,Moderate,None,High,Minimal,Average,1
Active,Keto,5,High,Non-smoker,Regular,Low,Insufficient,Poor,Reading,Moderate,Occasional,Moderate,Minimal,Average,1
Moderate,Vegan,9,Moderate,Former Smoker,None,High,Adequate,Fair,Traveling,Weak,Occasional,High,Minimal,Poor,0
Moderate,Vegetarian,11,Moderate,Non-smoker,Regular,Low,Adequate,Good,Music,Moderate,Occasional,Moderate,Moderate,Poor,1
Active,Omnivore,12,Moderate,Smoker,Occasional,None,Insufficient,Good,Music,Moderate,None,Moderate,Excessive,Good,3
Moderate,Vegetarian,11,High,Non-smoker,Regular,Low,Insufficient,Poor,Traveling,Strong,None,Low,Minimal,Good,2
Sedentary,Vegan,8,High,Non-smoker,Occasional,None,Adequate,Fair,Reading,Weak,Regular,High,Excessive,Average,0
Active,Keto,4,Moderate,Non-smoker,Occasional,High,Adequate,Poor,Traveling,Moderate,None,High,Minimal,Poor,0
Active,Keto,10,High,Smoker,Occasional,Low,Insufficient,Excellent,Reading,Strong,None,Low,Minimal,Average,0
Moderate,Vegetarian,11,High,Smoker,Regular,None,Insufficient,Good,Traveling,Moderate,Occasional,High,Minimal,Average,1
Moderate,Vegetarian,8,Moderate,Former Smoker,Regular,Low,Insufficient,Excellent,Traveling,Strong,None,High,Excessive,Poor,1
Sedentary,Keto,9,High,Non-smoker,Regular,None,Insufficient,Poor,Music,Strong,None,Moderate,Minimal,Average,2
Active,Omnivore,10,Moderate,Smoker,Regular,None,Adequate,Fair,Music,Weak,Occasional,Moderate,Excessive,Good,3
Active,Mediterranean,9,Low,Non-smoker,Occasional,Low,Adequate,Poor,Reading,Strong,Occasional,Moderate,Moderate,Poor,0
Sedentary,Mediterranean,4,Moderate,Smoker,Regular,Low,Adequate,Fair,Reading,Strong,None,Moderate,Minimal,Good,0
Moderate,Omnivore,8,Moderate,Smoker,Regular,None,Adequate,Excellent,Music,Moderate,Regular,Low,Excessive,Average,1
Sedentary,Vegan,5,Moderate,Former Smoker,Occasional,None,Adequate,Excellent,Reading,Weak,None,Low,Excessive,Good,0
Moderate,Omnivore,9,High,Former Smoker,Occasional,Low,Insufficient,Excellent,Reading,Moderate,Occasional,Moderate,Moderate,Good,3
Active,Mediterranean,8,Low,Non-smoker,Regular,None,Insufficient,Fair,Reading,Strong,Regular,Low,Excessive,Poor,0
Moderate,Mediterranean,9,Moderate,Smoker,Regular,None,Insufficient,Poor,Music,Weak,Occasional,Low,Minimal,Average,0
Sedentary,Mediterranean,5,Low,Former Smoker,Regular,High,Adequate,Good,Music,Moderate,Occasional,Low,Minimal,Good,0
Sedentary,Vegan,8,Low,Smoker,Occasional,High,Insufficient,Excellent,Reading,Weak,Regular,High,Moderate,Poor,0
Moderate,Omnivore,5,Moderate,Smoker,Regular,Low,Adequate,Fair,Music,Strong,Occasional,Low,Moderate,Poor,3
Sedentary,Vegan,8,High,Smoker,None,High,Insufficient,Fair,Traveling,Strong,None,Moderate,Excessive,Good,2
Moderate,Vegan,5,Moderate,Smoker,None,Low,Adequate,Excellent,Music,Strong,None,Moderate,Minimal,Average,3
Moderate,Omnivore,4,High,Non-smoker,None,High,Adequate,Good,Reading,Weak,None,High,Moderate,Poor,0
Moderate,Keto,12,Moderate,Non-smoker,Regular,None,Adequate,Good,Sports,Weak,Occasional,High,Excessive,Poor,2
Active,Mediterranean,12,Moderate,Non-smoker,Regular,Low,Insufficient,Good,Reading,Weak,None,Low,Moderate,Good,0
Moderate,Keto,6,Moderate,Smoker,Occasional,None,Insufficient,Good,Music,Weak,Regular,Moderate,Moderate,Good,2
Active,Mediterranean,10,Low,Non-smoker,Regular,None,Adequate,Excellent,Traveling,Moderate,Occasional,High,Minimal,Poor,0
Sedentary,Vegetarian,7,Low,Smoker,Occasional,Low,Insufficient,Good,Sports,Weak,None,High,Moderate,Poor,0
Active,Keto,4,Low,Non-smoker,Regular,Low,Insufficient,Good,Sports,Weak,Regular,Low,Excessive,Good,2
Moderate,Omnivore,4,High,Smoker,Regular,Low,Insufficient,Good,Music,Moderate,Regular,Moderate,Moderate,Good,1
Moderate,Keto,11,High,Former Smoker,None,High,Adequate,Poor,Reading,Moderate,Regular,Moderate,Moderate,Average,1
Moderate,Mediterranean,7,High,Former Smoker,None,None,Adequate,Excellent,Music,Weak,Occasional,Moderate,Minimal,Average,0
Sedentary,Vegan,8,High,Non-smoker,Regular,None,Adequate,Good,Reading,Moderate,None,Moderate,Moderate,Average,0
Sedentary,Vegetarian,7,Low,Smoker,None,Low,Insufficient,Poor,Reading,Weak,None,Moderate,Moderate,Average,0
Active,Keto,4,High,Smoker,Occasional,None,Adequate,Excellent,Sports,Moderate,Occasional,Moderate,Minimal,Good,3
Sedentary,Mediterranean,11,Moderate,Smoker,None,High,Adequate,Poor,Reading,Weak,Occasional,Moderate,Moderate,Good,0
Moderate,Omnivore,5,Low,Non-smoker,Occasional,Low,Insufficient,Poor,Traveling,Strong,None,Low,Excessive,Average,2
Active,Omnivore,11,High,Non-smoker,Regular,None,Insufficient,Fair,Sports,Moderate,Occasional,High,Excessive,Average,1
Sedentary,Omnivore,8,Moderate,Non-smoker,Occasional,High,Insufficient,Fair,Sports,Weak,Regular,High,Moderate,Average,1
Active,Vegetarian,7,High,Non-smoker,None,Low,Insufficient,Fair,Traveling,Weak,None,Low,Moderate,Good,2
Moderate,Omnivore,7,Moderate,Non-smoker,None,None,Insufficient,Good,Traveling,Moderate,None,High,Excessive,Average,2
Moderate,Omnivore,8,High,Former Smoker,Occasional,None,Insufficient,Excellent,Traveling,Weak,None,High,Excessive,Poor,0
Active,Vegan,11,High,Former Smoker,Regular,Low,Insufficient,Fair,Reading,Moderate,None,High,Moderate,Good,1
Sedentary,Vegan,6,Low,Smoker,None,None,Adequate,Good,Music,Moderate,Regular,Moderate,Minimal,Poor,0
Sedentary,Mediterranean,6,High,Former Smoker,Regular,None,Adequate,Poor,Reading,Moderate,Regular,High,Minimal,Poor,0
Sedentary,Vegan,12,High,Former Smoker,Occasional,High,Adequate,Fair,Music,Weak,Regular,High,Excessive,Poor,3
Active,Mediterranean,6,High,Non-smoker,None,High,Adequate,Excellent,Sports,Moderate,Regular,Moderate,Moderate,Average,1
Moderate,Keto,10,Low,Former Smoker,None,Low,Adequate,Poor,Reading,Strong,Occasional,High,Minimal,Poor,2
Sedentary,Mediterranean,8,Low,Non-smoker,Occasional,None,Adequate,Good,Reading,Strong,None,Moderate,Excessive,Poor,0
Sedentary,Vegan,12,High,Smoker,Regular,High,Insufficient,Good,Music,Weak,Occasional,Low,Excessive,Average,2
Moderate,Omnivore,9,High,Non-smoker,None,High,Insufficient,Fair,Reading,Strong,None,Moderate,Excessive,Average,2
Moderate,Vegan,8,High,Smoker,Occasional,Low,Insufficient,Fair,Sports,Weak,Occasional,High,Moderate,Average,1
Active,Vegetarian,8,High,Non-smoker,None,None,Insufficient,Fair,Sports,Moderate,None,Low,Excessive,Average,1
Active,Vegan,5,High,Former Smoker,Occasional,None,Adequate,Fair,Reading,Moderate,None,Low,Moderate,Average,3
Sedentary,Vegetarian,7,Moderate,Former Smoker,Regular,None,Adequate,Fair,Music,Weak,Occasional,High,Minimal,Poor,0
Active,Mediterranean,4,Low,Former Smoker,Occasional,High,Adequate,Excellent,Reading,Moderate,None,Moderate,Excessive,Poor,0
